"ID","TITLE","DESCRIPTION","DUE_DATE","CREATED_DATE","BOARD_ID","LAST_MODIFIED_DATE","PRIORITY","STATUS","ASSIGNEE"
"1057","WIP limit","#kanban",,"2025-01-24 16:13:41.805365","1001","2025-01-24 20:05:16.7519","1","to-do",""
"1058","Managing the board view","#kanban",,"2025-01-24 16:13:48.194287","1001","2025-01-24 20:05:11.690786","1","to-do",""
"1101","Make the pomodoro timer customizable","#pomodoro",,"2025-01-24 17:50:44.21217","1001","2025-01-24 20:04:04.245896","1","to-do",""
"1102","add A repeat timer option","for the #pomodoro timer",,"2025-01-24 17:51:08.744861","1001","2025-01-24 20:03:39.211021","1","to-do",""
"1103","Add the crypto endpoint for finnhub","#stocks",,"2025-01-24 17:51:41.636073","1001","2025-01-24 20:03:28.109779","1","to-do",""
"1104","Add a calendar","#calendar",,"2025-01-24 17:53:14.23498","1001","2025-01-24 20:03:10.373003","1","to-do",""
"1105","Add tags for features","When the user types a word with a hash symbol before it, it becomes a tag. #tag-feature",,"2025-01-24 17:53:21.017251","1001","2025-01-25 16:24:55.953908","1","done",""
"1106","Add a stock view","#stocks",,"2025-01-24 19:22:23.081108","1001","2025-01-24 20:06:34.589949","1","done",""
"1208","Work on the bugs when a task is created","- board id is missing sometimes
- test the focus, title or textarea",,"2025-01-25 08:27:59.650351","1001","2025-01-25 16:17:22.516234","1","done",""
"1211","When clicking cmd+n for new task, the focus should be in the title","",,"2025-01-25 08:31:14.237377","1001","2025-01-25 16:24:52.200392","1","done",""
"1240","I want to track my habits","#habit-tracker",,"2025-01-25 09:23:30.716594","1001","2025-01-29 19:02:01.682421","1","in-progress",""
"1249","Quick idea saving feature","#quickidea ",,"2025-01-25 09:25:35.390416","1001","2025-01-28 14:02:19.439556","1","done",""
"1257","Write some frontend tests","There are now so many condition that must be true, better check them with a test
#testing",,"2025-01-25 10:22:29.943004","1001","2025-01-26 19:18:58.501018","2","to-do",""
"1259","Add some slacking features, quick links","#slacking #quicklinks",,"2025-01-25 10:27:00.350172","1001","2025-01-25 10:27:33.173417","1","to-do",""
"1359","Clicking a tag should search for it","#tag-feature ",,"2025-01-25 16:18:12.438303","1001","2025-01-25 16:18:28.605361","1","to-do",""
"1360","Typing # in the searchfield should search for tags","#tag-feature ",,"2025-01-25 16:18:30.695468","1001","2025-01-25 16:19:41.170815","1","to-do",""
"1362","When typing # in the searchbar the drop down with the tags should open","#tag-feature ",,"2025-01-25 16:23:55.481519","1001","2025-01-25 16:24:29.219859","1","to-do",""
"1401","I want to move tasks between columns using the keyboard","#kanban ",,"2025-01-25 16:28:06.218357","1001","2025-01-27 11:54:34.031882","2","done",""
"1402","The focus should be always on a task when the sidebar is closed or not in the search field","#kanban",,"2025-01-26 09:48:07.03554","1001","2025-01-27 20:57:45.740169","1","done",""
"1403","The there is a searchterm in the searchfield, the board needs to update when a task is edited","e.g. when a new task is added and edited, and words match the search term, is should show the task.

#kanban",,"2025-01-26 09:49:21.263779","1001","2025-01-27 20:54:56.001775","1","to-do",""
"1404","Make the layout of a new task more dense and the give the content the most space","#task",,"2025-01-26 09:50:46.409901","1001","2025-01-26 20:13:36.486979","1","to-do",""
"1405","When a task is selected, you can add tags with the keyboard and mouse","#task #kanban",,"2025-01-26 09:52:17.684395","1001","2025-01-27 20:54:38.732811","1","to-do",""
"1406","Closing the sidebar with an new and unedited task, deletes the task","#kanban",,"2025-01-26 09:55:43.906493","1001","2025-01-27 20:57:52.602858","1","done",""
"1423","Fix the duplicate delete calls","#bug #kanban",,"2025-01-26 11:53:27.016072","1001","2025-01-27 20:58:08.010365","1","done",""
"1445","Add FileUpload to task ","#kanban ",,"2025-01-26 15:25:51.06412","1001","2025-01-28 14:01:28.218549","1","to-do",""
"1447","Add Image image upload to tasks","#kanban ",,"2025-01-26 15:26:57.889812","1001","2025-01-28 14:01:23.330215","1","to-do",""
"1461","Move the update logic of tasks into the board","The board manages all the logic is better. #kanban",,"2025-01-26 20:14:04.819914","1001","2025-01-26 21:13:06.601456","1","done",""
"1465","I want to change priorities using the keyboard","#kanban #task",,"2025-01-26 21:13:12.965732","1001","2025-01-27 20:57:35.168983","3","done",""
"1467","A task with just tags in the description don't show the description icon","#kanban ",,"2025-01-26 22:34:38.365024","1001","2025-01-27 20:54:20.110302","1","to-do",""
"1468","Ordering tasks within the done view should not be possible","#kanban",,"2025-01-27 09:45:31.971653","1001","2025-01-27 20:54:09.062548","1","to-do",""
"1471","Done tasks cannot be edited and deleted","#kanban",,"2025-01-27 11:59:49.927044","1001","2025-01-29 11:04:49.37182","3","done",""
"1472","Tasks in Progress cannot be deleted","#kanban",,"2025-01-27 12:00:08.522002","1001","2025-01-29 11:04:48.249491","3","done",""
"1473","Add a backlog for tasks","Related to the WIP feature, settings for board is needed

#kanban",,"2025-01-27 12:00:20.002389","1001","2025-01-29 13:33:56.036929","2","done",""
"1601","Add a dashboard to show an overview of all things","#dashboard",,"2025-01-27 15:49:37.345335","1001","2025-01-28 10:58:15.388007","1","done",""
"1602","Add a ideas widget to the dashboard component","#quickidea ",,"2025-01-27 15:50:23.044557","1001","2025-01-28 11:06:05.472686","1","done",""
"1651","Create a widget for the notes","#dashboard",,"2025-01-27 20:40:29.596568","1001","2025-01-27 20:53:36.632003","1","to-do",""
"1653","Add a converter widget","#dashboard ",,"2025-01-27 21:03:12.063998","1001","2025-01-27 21:03:57.872206","1","to-do",""
"1654","Add a markdown editor","#notes",,"2025-01-27 21:03:24.610789","1001","2025-01-27 21:03:42.363477","1","to-do",""
"1801","Creating a shopping list feature","#shopping-list
",,"2025-01-28 13:58:24.248612","1001","2025-01-29 13:35:50.736814","1","to-do",""
"1802","Add a refresh button to reorder the tasks in the view","",,"2025-01-28 14:01:37.242124","1001","2025-01-28 14:02:38.304224","2","to-do",""
"2051","Remove exceptions in the backend from when the task cannot be deleted or edited","#kanban ",,"2025-01-29 11:04:02.307214","1001","2025-01-29 13:34:08.36013","1","to-do",""
"2052","Add a component that to send info back to the user","Alert Service does already exist and can be used
",,"2025-01-29 11:05:09.432023","1001","2025-01-29 11:32:32.228835","1","done",""
"2160","Fix the notes editor","The way how the updated notes are handled
#notes",,"2025-01-29 19:32:49.875775","1001","2025-01-29 19:33:45.063125","1","backlog",""
"2161","Fix the tags chooser","When typing '#' sometimes it doesn't open the tag list",,"2025-01-29 19:33:54.517818","1001","2025-01-29 19:34:50.729286","1","backlog",""
"2162","Add type to tasks","Like bug, feature, task",,"2025-01-29 19:35:06.543248","1001","2025-01-29 19:36:01.467613","1","backlog",""
